区分,項目,方向性,主な数値,背景・要因,市場・実務上の見方
精製,3Q26処理量見通し,下方修正,2026年処理量見通しは370 kb/d下方修正,中国、中東、ユーラシア、非OECDアジアの3Q26見通しを大きく引き下げ,夏以降も処理量回復が遅れる可能性に注意
精製,2027年製油所処理量,回復,2027年は3.1 mb/d増、平均85 mb/d見通し,原油供給の正常化が背景,製品市場の圧力緩和には2027年の処理量回復が重要
精製,アジア・中東処理量,大幅低下,中国、中東、ユーラシア、その他アジアで2Q26に前年比5 mb/d超低下,原油供給ショックが処理量を押し下げた,供給ショックが製品市場へ波及している点を重視
在庫,世界観測在庫,加速減少,5月は143 mb減（-4.6 mb/d）。4月は74 mb減（-2.5 mb/d）,在庫取り崩しペースが4月から加速,バッファー低下が価格変動を大きくしやすい
在庫,湾岸紛争後の在庫減少,高ペース,平均3.8 mb/d減。内訳は原油2.4 mb/d、製品1.4 mb/d,供給不足を在庫で吸収,原油・製品双方の在庫余力低下を確認
在庫,OECD政府在庫,大幅減少,同期間に163 mb減（-1.8 mb/d）。1990年12月以来の低水準,緊急在庫放出のペースが加速,戦略備蓄の余力低下が市場の脆弱性を高める
在庫,今後の在庫見通し,低下継続余地,具体的な追加数量は記載なし。今後数カ月で歴史的低水準に向かう可能性,年末に需給が余剰へ移る前に、在庫減少が続く可能性,在庫底打ち時期と余剰転換の確認が重要
価格,North Sea Dated,急落,5月から6月中旬に40ドル/bbl超下落し、約82ドル/bbl,需要鈍化と米国・イラン和平合意観測が背景,現物原油価格は地政学と需要鈍化に敏感な状態
価格,ICE Brent先物,急落後高止まり,執筆時点で約81ドル/bbl。4月初旬高値比37ドル/bbl低く、年初比約20ドル/bbl高い,湾岸輸出増、IEA政府在庫放出加速、需要軟化で緊張が緩和,急落後も年初比では高く、ボラティリティ確認が必要
価格,投資家取引所保有,急減,具体的な保有数量は記載なし,価格上昇モメンタムの急反転、極端な価格変動、取引所証拠金上昇でポジション削減,ポジション解消が価格変動を増幅しやすい
需給バランス,2026年内バランス,余剰へ移行見通し,具体的な余剰数量は記載なし。年末に余剰へ移る前に在庫減少が続く可能性,需要減と供給回復が時間差で進む,在庫取り崩しから余剰転換へのタイミングを確認
需給バランス,2027年需給,供給過剰,需要は2 mb/d増の105.3 mb/d、供給は約8 mb/d増の約110 mb/d,供給回復が需要回復を大きく上回る見通し,在庫補充や戦略備蓄構築の機会になり得る
OPEC+,OPEC+総原油生産,減少,5月30.3 mb/d、4月31.37 mb/d。持続可能能力43.7 mb/d、有効余剰能力0.18 mb/d,OPEC+全体の生産が5月に低下,表注上、有効余剰能力は停止中のイラン・ロシア原油を除外して見る
OPEC+,OPEC総生産,減少,5月16.37 mb/d、4月17.24 mb/d。持続可能能力28.91 mb/d、有効余剰能力0.05 mb/d,イランの減産とOPEC-8の制約が影響,OPEC側の回復余地は地政学・輸送制約次第
OPEC+,非OPEC総生産,減少,5月13.93 mb/d、4月14.13 mb/d。目標比-0.97 mb/d、有効余剰能力0.13 mb/d,ロシアの低下を一部の国が相殺,非OPEC側の供給が中東不足の緩衝材になるか確認
OPEC+,OPEC-8生産,目標大幅未達,5月11.7 mb/d、目標比-8.47 mb/d。暗黙目標20.17 mb/d,サウジ、イラク、クウェートなどが暗黙目標を大きく下回る,主要OPEC国の回復ペースが供給見通しの焦点
OPEC+,サウジアラビア生産,低位,5月6.59 mb/d、4月6.53 mb/d。目標比-3.64 mb/d、持続可能能力12.11 mb/d,湾岸供給制約の中で目標を大きく下回る,サウジ供給の回復はOPEC+全体の供給正常化に直結
OPEC+,イラン生産,急減,5月2.3 mb/d、4月3.36 mb/d。持続可能能力3.8 mb/d,イランは減産免除国。米国封鎖解除で輸出再開余地,イラン供給回復の実現度が価格緩和の重要変数
OPEC+,ロシア生産,減少,5月8.74 mb/d、4月8.96 mb/d。目標比-0.96 mb/d、持続可能能力9.4 mb/d,表では5月生産が4月から低下,中東以外の大口供給国として月次変化を確認
